# Non-merge commits touching src/mgr/MgrClient.cc and/or src/mgr/MgrClient.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
b9127e7e3e4e7b174baab2d9532cb02b12a91d9f 2017-07-24 Jason Dillaman | mgr/MgrClient: do not attempt to access a global variable for config
97cfc3cb694eb2723cae22d71057323773746cee 2017-06-26 Sage Weil | mgr: allow/track service registrations
ebd4c4fa8ac11f9aafc5871de889b70de9b29ff8 2017-06-09 Sage Weil | mgr/MgrClient: skip sending stats if no session
28c83737345e9b9547a87105ab4d32b6f636bd4b 2017-06-08 Kefu Chai | msg,common: do not include assert.h everywhere to clobber <assert.h>
c93daaf92b643a06a822558973d377733dbd9d85 2017-05-24 Jesse Williamson | compile fixups for dout
b306e9e0ac1b7f885295f4302709eec5b020fc4f 2017-05-16 Kefu Chai | osd: stop sending pgstat if luminous
7a4ba15817f592a95986d1da347bda42f5a7de24 2017-05-24 Jesse Williamson | mgr: fixes compiler error because of atomic_t to <atomic>
eb5c02df634b34ca45ecbf1eaf4440ccf806845f 2017-05-17 Brad Hubbard | mgr: Mark session connections down on shutdown
83c45ad6a440046d8e4a41a60edd3ad5146e6bd1 2017-05-01 Sage Weil | osd: stop MgrClient callbacks on shutdown
2d15ba7d146f1a4c8f947c3d622ad93ea5580771 2017-04-16 Sage Weil | mgr/MgrClient: fix reconnect event leak
3015f304db4c1d4fef47ac1c10b8e995de9401ae 2017-03-22 Sage Weil | mgr/MgrClient: assume missing MgrMap means no acces to mgr at all
a46690c6230b868b3a17cf6720119067891a1620 2017-03-10 Sage Weil | mgr/MgrClient: cope with disappearing perf_counters
58f51ad6717e8772a0ac10142beb5c4d4ef2824b 2017-03-10 Sage Weil | mgr/MgrClient: fix uninitialize variable
8ca982f403b0c642fbd84a03250e316067bd9c5e 2017-03-14 Sage Weil | mgr/MgrClient: do not assert on control-c
bc128e882a5b6b1ae1a5d5f46cdeee3f185410c3 2017-03-10 Sage Weil | mgr/MgrClient: move lock init into .h
d902e5b76ed5526a04be0b81a284c14791ba3b69 2017-03-08 Sage Weil | mgr/MgrClient: throttle connection attempts
6ff0857974ea91e83f4355b25a81198303907290 2017-02-26 Sage Weil | mgr/MgrClient: don't block command submission if no session yet
6ffa93ba43c46bcc1d1ae3c6831c178d5e2c7ddb 2017-02-28 Sage Weil | mgr/MgrClient: remove unused cond signal helpers
