# Non-merge commits touching src/mgr/DaemonServer.cc and/or src/mgr/DaemonServer.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
d6ad0a255a27c5e3da20c7ae03066a692a6d49bb 2020-01-15 Venky Shankar | mgr: re-enable mds `scrub status` info in ceph status
5d5b0f96df39fd0c7e7ae5998043d53cd785b18e 2020-01-31 Kefu Chai | src/: drop cct from cmd_getval()
2c0fd7d86827aa76b8d923870018365cdae4a6ad 2019-12-15 Sage Weil | mgr: report device by-path paths too
ce4e554ed66b45cb4a302ff7668d9e0beb6bd7d9 2019-09-02 Xie Xingguo | Revert "mgr/DaemonServer: safe-to-destroy - do not consider irrelevant pgs"
efcebe1eb4ae16ea9c633436e3e105add4a2662c 2019-09-10 Venky Shankar | mgr: templatize/generalize metrics collection interface
66690ea3143ac5097f7c7f3118f2d00fed30cc4b 2019-12-05 Sage Weil | mgr/DaemonServer: fix 'osd ok-to-stop' for EC pools
7534737030b3b51e00f9ffc519574bcb10f6c950 2019-11-27 Jason Dillaman | mgr: cull service daemons when the last instance has been removed
3e7bc80b35b43d495a56b9cb0e9e15f58381f77b 2019-11-27 Jason Dillaman | mgr: ensure new daemons are properly indexed by hostname
16a1deb5b3f276efe7dd3904c26786e6d837ddee 2019-11-26 Patrick Donnelly | mgr: drop session with Ceph daemon when not ready
9b71bbee55e16e8b81d896b46bab60ff8aa36271 2019-11-26 Patrick Donnelly | mgr: improve debug message information
612747e97bdd4701d23dad07ad23751e9821d7cb 2019-11-07 Sage Weil | mgr/DaemonServer: warn when we reject reports
282c31c383856b45caadcefb876a71e39fe4b219 2019-10-14 Jason Dillaman | mgr: python modules can now perform authorization tests
3463613bd43d5fb7f8094c3b9b8a3163325ff196 2019-10-11 Jason Dillaman | mgr: add new 'allow module' cap to MgrCap
6350bee5c873cb1cef0ca1345b89bff66817e0c1 2019-10-11 Jason Dillaman | mgr: stop re-using MonCap for handling MGR caps
ef3c42cd6481a4c275b593bc60c8ee2142148e9f 2019-10-23 Sage Weil | auth: EACCES, not EPERM
cda3eadbfbd3e3a8a057cc7ed042ba0a6d7fef11 2019-10-03 Venky Shankar | mgr: missing lock release in DaemonServer::handle_report()
6f35d2835268eade059535b62378d6d407ef9e87 2019-09-27 Sage Weil | mgr,mgr/MgrClient: use fsid to signal mon-mgr vs cli MCommands
42823a092c9568d07c1188930aa0828db359876b 2019-09-06 Sage Weil | mgr/DaemonServer: route MCommand (for octopus+) to asok commands
5aac7eba36be99861eb8726872e339ff55360f47 2019-09-29 Kefu Chai | mgr: use a struct for DaemonKey
12d301a1994e7893c17015d1c5ac3b6c2d026a06 2019-09-18 Kefu Chai | mgr: pass MessageRef to monc.send_mon_message()
ff6b3997caa43d3eac0fc462f3be9ec4fa5ae6ed 2019-09-18 Kefu Chai | mgr: set hostname in DeviceState::set_metadata()
517bdca529db390e7ebc4e596570f80522060485 2019-02-06 Patrick Donnelly | common/RefCountedObj: cleanup con/des
489b30844e86dab102f768796251783b6e4a5f8f 2019-08-14 Patrick Donnelly | include: convert FunctionContext usage to generic LambdaContext
