# Non-merge commits touching src/mgr/ActivePyModules.cc and/or src/mgr/ActivePyModules.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
f4b3d6b7692332c329b567d91460b8ada96741e2 2020-12-03 Neha Ojha | mgr/ActivePyModules.cc: don't log config value in get_typed_config
2af2afa5e9191115bb6f0b36194830ffb91938bf 2020-09-22 Kamoltat Sirivadhna | mgr/progress: Global Recovery Event in ceph -s
7523aef6e8656952418d17227c877952f9370f95 2019-08-26 Venky Shankar | mgr/stats: mds performance stats module
4e2d344eb34df86bbb290193c1d2a94ef077b4e3 2020-08-28 Kefu Chai | mgr: use range-based loop
f9a11737ea5c37abcc2a11dbf67016d7d3057d58 2020-08-28 Kefu Chai | mgr/DaemonState: avoid searching for a daemon state twice
2d9b3abd1fc50e5fcd9ce2c05e8fac41d389b052 2020-06-25 Kefu Chai | mgr: avoid false alarm of MGR_MODULE_ERROR
da362675da51de8b20a12e4cec479a77c7f5442b 2020-03-27 Radoslaw Zarzynski | mgr: synchronize ClusterState's health and mon_status.
563811a0f60ad225c0f38b7359f84667043c2017 2020-01-08 David Zafman | mgr/progress: Add pg_ready interface for python to get pgmap_ready state
74c2b732717ba5150e359a0462973da874f33e9e 2020-01-10 David Zafman | mon mgr osd: Add dump_osd_times interface for python
1dba6c413ab6dcc33769d14891802298c8703065 2020-02-22 Sage Weil | mgr: allow logging to any channel
1112584621016c4a8cac1bedb1a1b8b17c394f7f 2020-01-07 David Zafman | mgr mon: Expose network ping information except for python pg_dump
69b9e0472d99f7e5278b6579a2d73ffa83ecf1b1 2020-01-07 David Zafman | mgr: Add pg_stats and pool_stats direct access
56e34f58cb7a84439c53779467b2d5b495beb3ef 2020-01-13 Mykola Golub | mgr: fix race between module load and notify
1e2fe722c41d4cc34094afb157b3eb06b4a50972 2019-12-20 David Zafman | osd_stat_t::dump: Add option for ceph-mgr pythonn callers to skip ping network
48c4bc445fcacd7980e84b4f135a3115b88b05f1 2019-12-18 Kefu Chai | mgr: drop the compatibility with python2
efcebe1eb4ae16ea9c633436e3e105add4a2662c 2019-09-10 Venky Shankar | mgr: templatize/generalize metrics collection interface
df507cde8d71063d5873a42f668156e4c32e86f9 2019-12-02 Patrick Donnelly | mgr: forward RADOS client instances for potential blacklist
4dfb610b5c26d2dd8d6e17ecf192804af5c6deb5 2019-11-26 Patrick Donnelly | mgr: fix debug typo
67ffff38edb250bb530549d1caeec4f9ee20b861 2019-11-21 Willem Jan Withagen | mgr: fix errors on using a reference in a Lambda function
40c4b9ac9d8e2b2c17269affada304f5e1554974 2019-11-13 Patrick Donnelly | mgr: handle race with finisher after shutdown
67e5139b02518cbc83e5156e2f74a5d22f4d97a4 2019-10-31 Sage Weil | mgr/ActivePyModules: behave if a module queries a devid that does not exist
282c31c383856b45caadcefb876a71e39fe4b219 2019-10-14 Jason Dillaman | mgr: python modules can now perform authorization tests
870b4e2f358e470cee868111445212b43c3242d1 2019-10-23 Sage Weil | mgr/ActivePyModules: expose 'mds_metadata' to modules
5aac7eba36be99861eb8726872e339ff55360f47 2019-09-29 Kefu Chai | mgr: use a struct for DaemonKey
3569829014434c8134e2623a148ba4b7e14e1d19 2019-09-16 Ernesto Puerta | mgr: change perf-counter precision to float
489b30844e86dab102f768796251783b6e4a5f8f 2019-08-14 Patrick Donnelly | include: convert FunctionContext usage to generic LambdaContext
c93dc8849145c1630058e4c0e527f404929216ff 2019-07-07 Kefu Chai | mgr: s/Mutex/ceph::mutex/
58135db31757c45f9c92c37f9ebb263c68125f31 2019-07-26 Sage Weil | mgr/telemetry: separate out cluster config vs running daemons
dffce107fb68e21cd85938d67115bdafe4e697eb 2019-07-22 Sebastian Wagner | mgr: cleanup idle debug log at level 4.
b758a82dbba0388c7cbff7ed9403985f216e1d65 2019-07-04 Ricardo Dias | mgr: return perf_counters data timestamps in nanosecs
ae9cc1d7238ba72b21471e2660a76c6e38550027 2019-05-31 Wu Jian | mgr: remove unused variable pool_name
b8f2bc43b49b3d9ab815797c3f95a5d10277e6a1 2019-04-18 Sage Weil | mgr/BaseMgrModule: run MonCommandCompletion on the finisher
377de7af5fec521642cc781ac67d555d98ea5e03 2019-04-10 Xie Xingguo | mgr/ActivePyModules: handle_command - fix broken lock
5108860c385cc1d905588d2e92d80295e3222ca4 2019-03-30 Xie Xingguo | mgr/BaseMgrModule: drop GIL in ceph_store_set
5050d06650545ea400cbc59f26ec66b1026182ca 2019-02-28 Adam C. Emerson | mgr: Remove unused lambda capture
9dc6de446d87de65cf7a1174e9bf40f047da88e7 2019-03-12 Volker Theile | mgr: Cleanup get_localized_module_option function
4ca5596a45007805e6977cf8619e65bcff220250 2019-03-08 Sage Weil | mgr: push localized config handling into BaseMgr*Module
c4e2965a4b83f39927e1cfc47ff6941cac76afb7 2019-02-14 Sage Weil | mgr: hold GIL while generating a typed option value
9ad2283db555a38b4951e42001ba884ba2dd86bf 2019-02-14 Sage Weil | mgr/ActivePyModules: do not touch PyFormatter without the GIL
5ac9e85a213017322e0fbdc604a9fc26f157a815 2019-01-25 Volker Theile | mgr: Improve ActivePyModules::get_typed_config implementation
f6ef41a05ee87f59b9cd33ab3c7acc1b98724713 2019-02-05 Sage Weil | mgr: allow progress events to be reported from modules
f22347db5509dc2da3cac6bc9f7a9b627798d3ac 2019-01-24 Mykola Golub | mgr: load modules in finisher to avoid potential lock cycles
dac649753bcb49bcbeafd70b5128349cfc6f6856 2019-01-18 Sage Weil | mgr/ActivePyModules: fix RestoreThread calls for get('devices')
030e85bb9c6c3571fec514f457010efea8f49296 2019-01-03 Volker Theile | mgr: Allow modules to get/set other module options
61aa7e2e0230bff49e757c32932d1db4bcad5f67 2018-11-26 Sage Weil | mgr: revise locking in getter paths
d590a5391876eda23ef286af5800e5bdbb2b4b97 2018-11-14 John Spray | mgr: drop GIL in get_config
34eb7b88782d6753999d475a0b0f0009c2843d77 2018-11-20 Sage Weil | mon/PGMap: dump_fs_stats -> dump_cluster_stats
b1f12671184a8da25c1b0059f23bf366483e395f 2018-11-23 Mykola Golub | mgr: add limit param to osd perf query
b8362d904a710c10ab72f15c78fdafc3ff21f020 2018-11-14 Mykola Golub | mgr: make dynamic osd perf counters accessible from modules
f27a5dc6155440f0add91213d68bb690d8bf9cd7 2018-11-17 Sage Weil | mgr: call config_notify method when mgr's config has changed
03a761c980a1171fe6adf7a463f3ab80ec6d4052 2018-11-15 Sage Weil | mgr: lock pg_map too for osd_pool_stats and notify_osdmap
f495b8cce9014d3459f41691ad5eb7ca1fc9d153 2018-09-23 Mykola Golub | osd: collect client perf stats when query is enabled
948635a8b2130b561fae08bd5b2405a2dc6d3e9f 2018-10-16 Sage Weil | mgr: Mutex::Locker -> std::lock_guard
34525ba3af31012d7874920883374d4f23ad90a1 2018-09-28 Volker Theile | Relocate cluster_log(). Only active modules can use it.
95746ecce9215c8428a02f1745d03e10536a4129 2018-09-24 Volker Theile | mgr: Add ability to trigger a cluster/audit log message from Python
b18ddf4d37f631f15199d3dce32400cda55631a3 2018-09-20 Mykola Golub | mgr: add osd_perf_query methods to ActivePyModules
b421142b1c6fb0a6cbd2f76d007ee07502a8d689 2018-09-07 Jan Fajerski | mgr: add get_latest_counter() to C++ -> Python interface.
ab23c506964753990f9fe23e314b9f3e2547a773 2018-08-23 Adam C. Emerson | mgr: Use ceph_assert for asserts.
70e56269b1a459d6b0e7b23bc3037602963ea5c2 2018-08-08 Yan Jun | mgr: fix beacon interruption caused by deadlock
34c390a09635dd318c917bc89c182d8c2b538cfc 2018-07-30 Noah Watkins | Revert "mgr/pybind: expose erasure code profiles"
3068c4290166076093119d1dc08a2c0fada8235f 2018-07-26 Noah Watkins | mgr: report health check changes immediately
6a8b5d8425cc8dd2923705dbc94974ecfa8dac31 2018-07-15 Noah Watkins | mgr: ignore modules that fail to instantiate
f02316adb4baf4dceaab79cc0ef4c2acdb544f3e 2017-12-14 John Spray | mgr: enable inter-module calls
b5487abb8b946c534d0e93f88c8b9b2d1cb35bae 2018-07-10 Noah Watkins | mgr/pybind: expose erasure code profiles
4718b7cb2fac65b2ac7014f42ba1a10181350f0b 2018-07-06 Kefu Chai | common,rbd,rgw,osd: extract config values into ConfigValues
13bcddea23f834c520d86050d03a8fc2e8a21a6a 2018-05-15 John Spray | mgr: handle long-named mgr modules
9662fa061ccad7d4d0ad6afcdf9f5aa51fbba2b4 2018-06-08 Sage Weil | mgr/ActivePyModules: add get for 'device <devid>'
140761f8a2df10c45eb02041fad5e8237bf57c20 2018-06-19 Dan Mick | mgr, pybind/mgr: pass inbuf (ceph -i <file>) to modules
a946216a162816f28d4d0a8bf0afa15494ec7a33 2018-06-05 Sage Weil | mgr/ActivePyModule: expose 'devices' to python modules
