# Non-merge commits touching src/mgr/Mgr.cc and/or src/mgr/Mgr.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
6f10373b7a23d83aaab1d68c9881c87d8e9123ad 2017-05-03 Spandan Kumar Sahu | mgr: remove non-existent MDS daemons from FSMap
3746e209d88137206b5ad319dc049207bc4e2524 2017-03-30 John Spray | mgr: embed Client instance for mds_command
562089d2a1c216fbe49654da81b64a0f808e3b56 2017-02-04 John Spray | mgr: expose Objecter to PyModules
b1e5d492d684b5a28b0009301bf894531c53f3b9 2017-04-03 John Spray | mgr: fix deadlock in dispatch
f79ae2504ad5355d20b137019afddb4d3f3cd204 2017-04-20 John Spray | mgr: fix message refcounting
e7060410f720f792b97d3fd5392cec89ab67c249 2017-04-05 John Spray | mgr: get fresh maps on second load of Mgr
9988a564d816f8fb3768a382dd547519d8112f94 2017-03-05 John Spray | mgr: improve handle_command
145acbe976bdd6b9081f56f1dd1ead75c67d24ab 2017-04-27 Kefu Chai | mgr: do shutdown using finisher so we can do it in the right order
8ce30bc4cd2325bfbc238fd76952729cf4f7e0a6 2017-03-27 John Spray | mgr: fix metadata handling from old MDS daemons
abfb05733496d7c1c9f50558f47f4adaf87a1f7f 2017-04-06 Sage Weil | mgr/Mgr: unlock lock while blocking for metadata load
f2a44f41607f0949a44b8399d56c6827a1a47fd5 2017-04-04 Sage Weil | mgr/Mgr: log something at end of handle_mgr_digest
025934423f9f17cc1b7902011e181c4fb197dff1 2017-04-04 Sage Weil | mgr/Mgr: drop lock while fetching config-keys
6d5e0132d97864f1058ba86584e2cc0e565977e7 2017-04-04 Sage Weil | mgr/Mgr: fix map waits in init
1113eb123b1470f19feb3539153cad5159e54509 2017-04-04 Sage Weil | mgr/Mgr: use cond (not context) for FSMap wait
3f857b9ae434274d0cf8b6288cefe9f703471870 2017-04-04 Wei Jin | mgr: rm nonused main function
d3a10d35120445bbf994b0a062f21af891a33440 2017-03-21 Sage Weil | mgr/MgrStandby: add LogClient
81834844f04b09d317872f0c850b8f0ceb9dfb1b 2017-03-10 Sage Weil | mgr/Mgr: less noisy about ms_dispatch
a6fab0825f27c3cb0bb93a28abea9cd4d50c9150 2017-03-17 Sage Weil | mgr: do not crash if FSMap doesn't have 'addr' metadata
523b7cafc4c84ef09dbae50cb8311d1694618d45 2017-03-22 Kefu Chai | mgr: shutdown py_modules in Mgr::shutdown()
9ea37c223f92b8f228c57a4c17d4da02d99be756 2016-11-14 John Spray | mgr: pass through cluster log to plugins
ac66b7542782f60ae93de25d3b2075a8d0a0ac54 2017-03-01 John Spray | mgr: update for start_mon_command int->void
491d653632f8f06c69408a9a6d0f64d0a6ce2352 2017-02-15 Chang Liu | mgr: add override in mgr subsystem
